variable,mean,std,min,max
Strain,0.08999999999999998,0.05199831890216856,-1.657666e-15,0.18
Stress,2.1685710779226848,0.7844981086126649,-0.017841123,3.5637074
Von Mises stress,2.1717052761483178,0.5969172353412758,0.058285188,3.4061079
Total energy,-1328892.9157894736,19853.138636594173,-1359286.4,-1272435.9
Total dislocation length,4912.5345496097825,2097.9064439683702,1173.4141604602,10544.7377523612
Dislocation length.1/2<110>,69.47658941722716,51.74639878784463,0.0,952.337550141586
Dislocation length.1/6<110>,446.10384133598353,227.92319378398,22.3274655012215,1096.20581610053
Dislocation length.1/6<112>,4027.0587038218114,1664.2479330386166,902.269133602484,8740.16445189913
BCC phase,2138.5911892071954,670.5189630918203,507.0,4958.0
FCC phase,162262.4026482345,14269.78551069983,123806.0,193179.0
HCP phase,9737.26007661559,5515.666919133178,1407.0,25575.0
